Nº Geracoes;Tamanho Populacao;Probabilidade Cruzamento;Probabilidade Mutacao;Percentagem N Melhores;Nº Vezes Corrido;Melhor Valor;Pior Valor;Média
20;20;80;20;30;10;21540;152580;78666
50;20;80;20;30;10;3360;151140;46602
50;40;80;20;30;10;3360;53940;27228
80;40;80;20;30;10;3360;53940;19680
80;50;80;20;30;10;3360;84720;18858
80;50;80;20;30;10;4980;52320;15942
100;50;80;20;30;10;3360;21540;5502
80;70;80;20;30;10;3360;21540;7146
80;80;80;20;30;10;3360;50340;8544
80;80;80;20;30;10;3360;21540;5826
80;80;100;20;30;10;3360;19920;7158
80;80;80;35;30;10;3360;19920;6834
100;80;80;20;30;10;3360;21540;5340
100;100;80;20;30;10;3360;4980;3846
100;100;80;20;30;10;3360;4980;4170
